ticker,company_name,focus_flag,start_date,end_date,start_close,end_close,average_daily_return,average_volatility,average_volume,total_return,return_volatility_ratio
NVDA,NVIDIA Corporation,0,2023-01-03,2026-05-19,14.29991054534912,220.61000061035156,0.0037064540902515208,0.4567803224689527,336248996.9303424,14.427369276942954,31.584918542377842
AVGO,Broadcom Inc.,1,2023-01-03,2026-05-19,52.808143615722656,411.0700073242187,0.002855540279841272,0.43547591760412513,27547375.324675325,6.784216205657912,15.578855067308657
AMD,"Advanced Micro Devices, Inc.",0,2023-01-03,2026-05-19,64.0199966430664,414.0499877929687,0.0027958801439463272,0.5128222567562961,52645313.459268,5.467510301530323,10.66160883131989
AAPL,Apple Inc.,0,2023-01-03,2026-05-19,122.98272705078124,298.9700012207031,0.001178045424379584,0.2337803547528947,55746157.2609209,1.4309918017776133,6.121095176239973
ORCL,Oracle Corporation,0,2023-01-03,2026-05-19,80.17582702636719,181.4600067138672,0.0013562109591336911,0.3971484163811906,13410015.820543094,1.2632757708154476,3.180865688264338
MSFT,Microsoft Corporation,0,2023-01-03,2026-05-19,233.4528045654297,417.4200134277344,0.0008047521651388397,0.22879026036986175,24831987.95749705,0.7880274096717665,3.4443223605665882
CRM,"Salesforce, Inc.",0,2023-01-03,2026-05-19,132.82984924316406,179.4199981689453,0.0005889820900181354,0.3189889972704758,7546110.15348288,0.35075059703253375,1.0995695777404095
ADBE,Adobe Inc.,0,2023-01-03,2026-05-19,336.9200134277344,254.9900054931641,-9.723265071358959e-05,0.32162960921024486,3692320.188902007,-0.24317346749763014,-0.7560667940204192
