ticker,trade_date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,daily_return,cumulative_return,rolling_20d_volatility,volume_change,dollar_volume
AAPL,2023-01-03,130.27999877929688,130.89999389648438,124.16999816894533,125.06999969482422,122.98272705078124,112117500,0.0,0.0,,0.0,,,13788515900.115965
AAPL,2023-01-04,126.88999938964844,128.66000366210938,125.08000183105467,126.36000061035156,124.2511749267578,89113600,0.0,0.0,0.0103140327621196,0.0103140327621196,,-0.2051767119316788,11072469501.953123
AAPL,2023-01-05,127.12999725341795,127.7699966430664,124.76000213623048,125.0199966430664,122.93354034423828,80962700,0.0,0.0,-0.0106046046107509,-0.0003999480880159,,-0.0914663979459925,9953031346.82846
AAPL,2023-01-06,126.01000213623048,130.2899932861328,124.88999938964844,129.6199951171875,127.45677185058594,87754700,0.0,0.0,0.0367941205767092,0.0363794567505184,,0.0838904829013853,11184930776.716614
AAPL,2023-01-09,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,127.97791290283205,70790800,0.0,0.0,0.0040887670751383,0.0406169709506298,,-0.1933104437711028,9059658836.721804
AAPL,2023-01-10,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,128.54823303222656,63896200,0.0,0.0,0.0044563949861218,0.0452543712024475,,-0.0973940116512315,8213743607.473755
AAPL,2023-01-11,131.25,133.50999450683594,130.4600067138672,133.49000549316406,131.26220703125,69458900,0.0,0.0,0.0211124955591031,0.0673222994725923,,0.0870583853186888,9117328511.96289
AAPL,2023-01-12,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,131.18356323242188,71379600,0.0,0.0,-0.0005991351250813,0.0666828291931957,,0.0276523238922585,9363830270.10498
AAPL,2023-01-13,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,132.510986328125,57809700,0.0,0.0,0.01011882177153,0.077476402628553,,-0.1901089386883647,7660420366.333008
AAPL,2023-01-17,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,133.67132568359375,63646600,0.0,0.0,0.0087565520989747,0.0869113808835859,,0.1009674846954749,8507725397.253418
AAPL,2023-01-18,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,132.95352172851562,69672800,0.0,0.0,-0.0053699172309938,0.0810747567308158,,0.0946821982635364,9263244128.686523
AAPL,2023-01-19,134.0800018310547,136.25,133.77000427246094,135.27000427246094,133.01251220703125,58280400,0.0,0.0,0.0004436924855295,0.081554421476673,,-0.1635128773352011,7752022416.430664
AAPL,2023-01-20,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,135.569091796875,80223600,0.0,0.0,0.0192205947201755,0.10234254067969,,0.3765107995140733,10875840592.67578
AAPL,2023-01-23,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,138.75502014160156,81760300,0.0,0.0,0.0235004033920953,0.1282480350619301,,0.0191552111847386,11344652073.283386
AAPL,2023-01-24,140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,140.15133666992188,66435100,0.0,0.0,0.0100631784485731,0.1396017963730105,,-0.1874406038138314,9310968066.799929
AAPL,2023-01-25,140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,139.49249267578125,65799300,0.0,0.0,-0.0047009469177757,0.134244588820859,,-0.0095702422364081,9178508373.321531
AAPL,2023-01-26,143.1699981689453,144.25,141.89999389648438,143.9600067138672,141.55746459960938,54105100,0.0,0.0,0.0148034627829591,0.1510353363782415,,-0.1777252949499462,7658980777.908325
AAPL,2023-01-27,143.16000366210938,147.22999572753906,143.0800018310547,145.92999267578125,143.4945526123047,70555800,0.0,0.0,0.0136841106767084,0.1667862313140438,,0.3040508196085028,10124372955.203247
AAPL,2023-01-30,144.9600067138672,145.5500030517578,142.85000610351562,143.0,140.61349487304688,64015300,0.0,0.0,-0.0200778195883288,0.1433597078635742,,-0.0926996788357583,9001415058.346558
AAPL,2023-01-31,142.6999969482422,144.33999633789062,142.27999877929688,144.2899932861328,141.88192749023438,65874500,0.0,0.0,0.0090207032997273,0.1536736165530745,,0.0290430568942112,9346401032.455444
AAPL,2023-02-01,143.97000122070312,146.61000061035156,141.32000732421875,145.42999267578125,143.00289916992188,77663600,0.0,0.0,0.0079007361932312,0.1627884874505514,0.2025243210121243,0.178963028182377,11106119959.973145
AAPL,2023-02-02,148.89999389648438,151.17999267578125,148.1699981689453,150.82000732421875,148.302978515625,118339000,0.0,0.0,0.037062740521123,0.2058846154418803,0.2278688334002068,0.5237382763611267,17550026174.560547
